[2025-07-22 15:01:25,119 - cnnClassifierLogger - INFO - Logging is set up successfully.]
[2025-07-23 17:49:17,033: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-23 17:49:17,044: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 17:49:17,046: INFO: common: created directory at: artifacts]
[2025-07-23 17:49:17,051: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-23 17:49:17,054: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 17:49:29,413: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 17:57:18,652: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-23 17:57:18,657: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 17:57:18,659: INFO: common: created directory at: artifacts]
[2025-07-23 17:57:18,662: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-23 17:57:18,664: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 17:57:29,499: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 18:04:25,400: INFO: main: >>>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-07-23 18:04:25,403: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-07-23 18:04:25,406: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 18:04:25,407: INFO: common: created directory at: artifacts]
[2025-07-23 18:04:25,408: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-23 18:04:25,408: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 18:04:36,313: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-23 18:04:36,875: INFO: main: >>>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
